epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4555,1.06097,2.37387,1.23528,0.17671,0.44034,0.14921,0.10787,1.04169,3.02096,1.22679,0.0700679,0.00332579,0.00332579
2,82.7958,0.95019,1.98443,1.23844,0.14998,0.43574,0.21495,0.15927,0.96261,2.06855,1.1709,0.0400019,0.0065932,0.0065932
3,124.375,0.88844,1.8356,1.20702,0.23454,0.50748,0.28198,0.21947,nan,nan,nan,0.00987002,0.00979461,0.00979461
4,165.636,0.84848,1.7594,1.17695,0.23104,0.48355,0.28699,0.22873,0.87331,1.78728,1.178,0.009703,0.009703,0.009703
5,206.32,0.80613,1.69723,1.15783,0.35361,0.47258,0.31063,0.2536,0.83745,1.7147,1.16761,0.009604,0.009604,0.009604
6,248.712,0.7867,1.63181,1.15288,0.43119,0.43757,0.38511,0.3146,0.79938,1.50874,1.12065,0.009505,0.009505,0.009505
7,294.657,0.76191,1.56086,1.12784,0.35184,0.49373,0.41193,0.32981,0.79221,1.58335,1.12063,0.009406,0.009406,0.009406
8,353.626,0.74464,1.49209,1.11957,0.54399,0.53578,0.52637,0.43809,0.77549,1.2635,1.07767,0.009307,0.009307,0.009307
9,403.142,0.75578,1.4266,1.12995,0.47564,0.58962,0.51949,0.4408,0.73624,1.48236,1.07036,0.009208,0.009208,0.009208
10,446.901,0.72386,1.33676,1.11474,0.6455,0.54328,0.59519,0.49615,0.75405,1.13075,1.10385,0.009109,0.009109,0.009109
11,489.5,0.70629,1.24579,1.10975,0.67181,0.64554,0.67578,0.5687,nan,nan,nan,0.00901,0.00901,0.00901
12,532.859,0.71098,1.23668,1.10384,0.61432,0.61657,0.64751,0.54532,nan,nan,nan,0.008911,0.008911,0.008911
13,574.619,0.69718,1.17031,1.0984,0.77147,0.65792,0.71929,0.60652,nan,nan,nan,0.008812,0.008812,0.008812
14,617.388,0.68443,1.10572,1.09732,0.7829,0.6628,0.72962,0.61892,0.69044,0.83552,1.06779,0.008713,0.008713,0.008713
15,660.432,0.66652,1.0709,1.08952,0.76617,0.6872,0.74875,0.63795,0.67631,0.75969,1.04187,0.008614,0.008614,0.008614
16,704.216,0.6703,1.05268,1.08699,0.82999,0.68062,0.76576,0.65527,nan,nan,nan,0.008515,0.008515,0.008515
